id,timestamp,label
1792,11224298,start1
384,11224299,start1
2048,11224313,start1
1280,11224312,start1
256,11224305,start1
512,11224296,start1
2304,11224302,start1
128,11224310,start1
0,11224310,start1
1536,11224308,start1
2432,11224301,start1
1024,11224301,start1
1408,11224308,start1
1920,11224315,start1
896,11224307,start1
1152,11224299,start1
1664,11224301,start1
768,11224306,start1
640,11224315,start1
2176,11224304,start1
1536,11353818,start2
1152,11353967,start2
1920,11354048,start2
2176,11354084,start2
0,11354142,start2
1792,11354217,start2
512,11354317,start2
1408,11354349,start2
128,11354401,start2
1280,11354494,start2
2432,11354459,start2
1664,11354606,start2
2304,11354609,start2
1024,11354610,start2
2048,11354983,start2
896,11355419,start2
640,11355469,start2
384,11355478,start2
768,11355536,start2
256,11356079,start2
2560,11434669,start1
2688,11434672,start1
3456,11434799,start1
3584,11434836,start1
2816,11434923,start1
3200,11435134,start1
3072,11434976,start1
4224,11435056,start1
3328,11435026,start1
3712,11435024,start1
3840,11435243,start1
4096,11435171,start1
3968,11435576,start1
2944,11435254,start1
4608,11435519,start1
4352,11435634,start1
4864,11436031,start1
4480,11436009,start1
4736,11436046,start1
4992,11436037,start1
2816,11565642,start2
3840,11566478,start2
3072,11566406,start2
2944,11566442,start2
4608,11566390,start2
3456,11566684,start2
4352,11566880,start2
3200,11566655,start2
4096,11566949,start2
4224,11566916,start2
2688,11567032,start2
3712,11567018,start2
3328,11567032,start2
3584,11567014,start2
2560,11567269,start2
4992,11567308,start2
4864,11567363,start2
3968,11567649,start2
4480,11567810,start2
4736,11567643,start2
5120,11646479,start1
5248,11646478,start1
5376,11646670,start1
5760,11646758,start1
5632,11646761,start1
5888,11646921,start1
5504,11646885,start1
6784,11647212,start1
7168,11647170,start1
6144,11647360,start1
6400,11647405,start1
6016,11647344,start1
6528,11647403,start1
7424,11647587,start1
6656,11647495,start1
6912,11647475,start1
7040,11647907,start1
6272,11647899,start1
7296,11648194,start1
7552,11648118,start1
5888,11777454,start2
6016,11777586,start2
6144,11777766,start2
5760,11777797,start2
5632,11777885,start2
5120,11778181,start2
6528,11778239,start2
6400,11778238,start2
6656,11778249,start2
6272,11778658,start2
7168,11778638,start2
5376,11778684,start2
6912,11778696,start2
7296,11778656,start2
6784,11778814,start2
5248,11778708,start2
7040,11778633,start2
5504,11778968,start2
7424,11778962,start2
7552,11779786,start2
7680,11859003,start1
7936,11859001,start1
7808,11859004,start1
8064,11859002,start1
7680,11989172,start2
8064,11989170,start2
7808,11989172,start2
7936,11989361,start2
1280,12080621,start1
128,12080618,start1
768,12080616,start1
1920,12080750,start1
1024,12080797,start1
640,12080881,start1
1536,12080708,start1
2304,12080813,start1
2176,12080711,start1
0,12080888,start1
1152,12080812,start1
384,12080908,start1
2048,12080897,start1
2432,12080944,start1
1792,12081320,start1
1664,12081048,start1
512,12081432,start1
256,12081368,start1
1408,12081332,start1
896,12081714,start1
128,12211837,start2
0,12211908,start2
2048,12212094,start2
640,12212113,start2
768,12212487,start2
2304,12212428,start2
384,12212245,start2
1024,12212239,start2
1664,12212425,start2
2176,12212450,start2
1536,12212447,start2
1408,12212485,start2
2432,12212488,start2
1152,12212487,start2
1792,12212476,start2
1920,12212618,start2
1280,12212696,start2
256,12213082,start2
896,12213208,start2
512,12213356,start2
2688,12299192,start1
3968,12299350,start1
3584,12299194,start1
3072,12299318,start1
2560,12299177,start1
3200,12299148,start1
2944,12299195,start1
3328,12299051,start1
4992,12299217,start1
4352,12299330,start1
4096,12299105,start1
4608,12299048,start1
2816,12299333,start1
3456,12299178,start1
3712,12299134,start1
3840,12299050,start1
4480,12299106,start1
4224,12299348,start1
4864,12299216,start1
4736,12299178,start1
3328,12429348,start2
3840,12429674,start2
4608,12429652,start2
2816,12429784,start2
4352,12429795,start2
3456,12429698,start2
3072,12429871,start2
4224,12429862,start2
3200,12430153,start2
3968,12429818,start2
3712,12430160,start2
2560,12430384,start2
4992,12430236,start2
4864,12430384,start2
4480,12430423,start2
4096,12430575,start2
2944,12430680,start2
4736,12430677,start2
3584,12430689,start2
2688,12430964,start2
5504,12513704,start1
5120,12513880,start1
5376,12513898,start1
5248,12513889,start1
5632,12513899,start1
5760,12513837,start1
5888,12514321,start1
6016,12514404,start1
6144,12514406,start1
6400,12514733,start1
6272,12514739,start1
6528,12515234,start1
7040,12515492,start1
6656,12515356,start1
6912,12515580,start1
6784,12515505,start1
7296,12516295,start1
7168,12516290,start1
7424,12516685,start1
7552,12517056,start1
5248,12644269,start2
5120,12644121,start2
5632,12644183,start2
5504,12644270,start2
5760,12644509,start2
5376,12645108,start2
6016,12645334,start2
5888,12645628,start2
6144,12645857,start2
7040,12646079,start2
6528,12646591,start2
6784,12646768,start2
6400,12646780,start2
6272,12646777,start2
6912,12646798,start2
6656,12647060,start2
7168,12647668,start2
7552,12647675,start2
7296,12647674,start2
7424,12648814,start2
7936,12730373,start1
7680,12730367,start1
8064,12730371,start1
7808,12730372,start1
7680,12858810,start2
7808,12858794,start2
7936,12858793,start2
8064,12859311,start2
8064,12934878,start2
640,13022559,start1
0,13022568,start1
1920,13022664,start1
2432,13022868,start1
1792,13022867,start1
1152,13022866,start1
1024,13022978,start1
256,13022780,start1
2304,13022975,start1
384,13022975,start1
1280,13023074,start1
896,13023045,start1
1536,13022983,start1
1664,13023014,start1
1408,13023110,start1
768,13023109,start1
2176,13023171,start1
512,13023421,start1
2048,13023386,start1
128,13023385,start1
640,13154043,start2
0,13154045,start2
1920,13154046,start2
1024,13154565,start2
384,13154559,start2
256,13154538,start2
896,13154539,start2
128,13154584,start2
1408,13154583,start2
2048,13154753,start2
1280,13154963,start2
2304,13155155,start2
1536,13155269,start2
768,13155443,start2
1152,13155407,start2
1792,13155418,start2
512,13155412,start2
2432,13155473,start2
2176,13155819,start2
1664,13155783,start2
4352,13241002,start1
4224,13240924,start1
2688,13241106,start1
2560,13241100,start1
3584,13241126,start1
3456,13241116,start1
3840,13241205,start1
3200,13240969,start1
4096,13241120,start1
3712,13241125,start1
2816,13241108,start1
2944,13241078,start1
3968,13241101,start1
4992,13241226,start1
3328,13240999,start1
4480,13241138,start1
3072,13241266,start1
4736,13241009,start1
4608,13241134,start1
4864,13241225,start1
3200,13371224,start2
4480,13371225,start2
2688,13371234,start2
3072,13371168,start2
3456,13371429,start2
3328,13371300,start2
2944,13372057,start2
4864,13372013,start2
3712,13372000,start2
4608,13372278,start2
2560,13372360,start2
4096,13372277,start2
4352,13372585,start2
3840,13372414,start2
4224,13372593,start2
3968,13372640,start2
3584,13372687,start2
2816,13372712,start2
4992,13372845,start2
4736,13373419,start2
5632,13457323,start1
5248,13457323,start1
5888,13457327,start1
6016,13457325,start1
5504,13457327,start1
5120,13457324,start1
5376,13457328,start1
5760,13457326,start1
6144,13457319,start1
6272,13457341,start1
6784,13457368,start1
6528,13457318,start1
7040,13457408,start1
7424,13457610,start1
6912,13457403,start1
6400,13457712,start1
7296,13457913,start1
7552,13457888,start1
7168,13458117,start1
6656,13458254,start1
5888,13588456,start2
5504,13588441,start2
5120,13588655,start2
6272,13588458,start2
7040,13588756,start2
5760,13588700,start2
5376,13588893,start2
5248,13588830,start2
7296,13588767,start2
7168,13588974,start2
6656,13589171,start2
6912,13589211,start2
6400,13589353,start2
7552,13589387,start2
7424,13589398,start2
6016,13589403,start2
6528,13589494,start2
6144,13589528,start2
6784,13589755,start2
5632,13590167,start2
7680,13674362,start1
7808,13674366,start1
7936,13674361,start1
8064,13674365,start1
7936,13803103,start2
7808,13803012,start2
8064,13803304,start2
7680,13803754,start2
7680,13879576,start2
896,13967726,start1
1152,13967783,start1
256,13968042,start1
768,13968005,start1
1408,13968021,start1
1792,13968076,start1
2176,13968220,start1
2304,13968353,start1
1024,13968329,start1
2432,13968291,start1
128,13968179,start1
2048,13968293,start1
1920,13968306,start1
1280,13968305,start1
1536,13968218,start1
384,13968569,start1
1664,13968460,start1
512,13968468,start1
0,13968512,start1
640,13968644,start1
2048,14099627,start2
1408,14099624,start2
2176,14099750,start2
1536,14099781,start2
256,14099858,start2
128,14099941,start2
1792,14100106,start2
2432,14100092,start2
512,14100108,start2
1152,14100190,start2
0,14100204,start2
1920,14100209,start2
896,14100433,start2
640,14100470,start2
1664,14100751,start2
1024,14100774,start2
2304,14100770,start2
1280,14100965,start2
768,14100969,start2
384,14102179,start2
2560,14186666,start1
3072,14186660,start1
4480,14186662,start1
4352,14186551,start1
2944,14186560,start1
2688,14186555,start1
3712,14186567,start1
4736,14186633,start1
3456,14186562,start1
4096,14186626,start1
3840,14186566,start1
3200,14186564,start1
2816,14186554,start1
3968,14186568,start1
3584,14186575,start1
4224,14186564,start1
3328,14186686,start1
4608,14186682,start1
4864,14186780,start1
4992,14187205,start1
2944,14316753,start2
3584,14316751,start2
3200,14316753,start2
3456,14316972,start2
2816,14316925,start2
3968,14317547,start2
3840,14317549,start2
3712,14317599,start2
4224,14317593,start2
4608,14317944,start2
3072,14318298,start2
4480,14318296,start2
2560,14318304,start2
2688,14318370,start2
4864,14318344,start2
3328,14318539,start2
4352,14318517,start2
4992,14318535,start2
4096,14318604,start2
4736,14318690,start2
5632,14402397,start1
6016,14402389,start1
5760,14402443,start1
5504,14402305,start1
5376,14402396,start1
5888,14402308,start1
5120,14402432,start1
5248,14402440,start1
6144,14402413,start1
6272,14402636,start1
6400,14402868,start1
6784,14402992,start1
6528,14403211,start1
6656,14403597,start1
7296,14403917,start1
6912,14404069,start1
7168,14403921,start1
7040,14403943,start1
7552,14404275,start1
7424,14404230,start1
5888,14533505,start2
5120,14533504,start2
5376,14533499,start2
5632,14533499,start2
5504,14533779,start2
6144,14533649,start2
6784,14533494,start2
5248,14533711,start2
5760,14533827,start2
7168,14533764,start2
6016,14534020,start2
6400,14534203,start2
6656,14534195,start2
6272,14534279,start2
6528,14534700,start2
7552,14535164,start2
7424,14535519,start2
7040,14535663,start2
7296,14536008,start2
6912,14536070,start2
7680,14618520,start1
8064,14618483,start1
7936,14618527,start1
7808,14618528,start1
8064,14744824,start2
7936,14747317,start2
7680,14747953,start2
7808,14748303,start2
7808,14824035,start2
1536,14912426,start1
2176,14912426,start1
896,14912424,start1
256,14912427,start1
1280,14912696,start1
2432,14913022,start1
1024,14912789,start1
2304,14912782,start1
1152,14913023,start1
0,14912970,start1
512,14913024,start1
768,14913023,start1
1408,14913019,start1
128,14913020,start1
1664,14913005,start1
1792,14913305,start1
384,14913398,start1
640,14913284,start1
2048,14913190,start1
1920,14913468,start1
0,15044419,start2
896,15044413,start2
2048,15044418,start2
1408,15044417,start2
256,15044418,start2
128,15044412,start2
1664,15044501,start2
2304,15044505,start2
640,15044476,start2
1280,15044491,start2
384,15044503,start2
768,15044567,start2
1536,15044754,start2
