x,y,z,time,label
-1,-1,-1,0,start_des_0
928,0,0,0,des_start_0
1920,0,0,0,des_start_0
64,0,0,0,des_start_0
2432,0,0,0,des_start_0
1408,0,0,0,des_start_0
929,0,0,0,des_start_0
1921,0,0,0,des_start_0
384,0,0,0,des_start_0
2433,0,0,0,des_start_0
1409,0,0,0,des_start_0
930,0,0,0,des_start_0
1600,0,0,0,des_start_0
65,0,0,0,des_start_0
2112,0,0,0,des_start_0
1088,0,0,0,des_start_0
931,0,0,0,des_start_0
1922,0,0,0,des_start_0
385,0,0,0,des_start_0
2434,0,0,0,des_start_0
1410,0,0,0,des_start_0
936,0,0,0,des_start_0
1601,0,0,0,des_start_0
66,0,0,0,des_start_0
2113,0,0,0,des_start_0
1089,0,0,0,des_start_0
937,0,0,0,des_start_0
1923,0,0,0,des_start_0
386,0,0,0,des_start_0
2435,0,0,0,des_start_0
1411,0,0,0,des_start_0
938,0,0,0,des_start_0
1602,0,0,0,des_start_0
67,0,0,0,des_start_0
2114,0,0,0,des_start_0
1090,0,0,0,des_start_0
939,0,0,0,des_start_0
1928,0,0,0,des_start_0
387,0,0,0,des_start_0
2440,0,0,0,des_start_0
1416,0,0,0,des_start_0
932,0,0,0,des_start_0
1603,0,0,0,des_start_0
72,0,0,0,des_start_0
2115,0,0,0,des_start_0
1091,0,0,0,des_start_0
933,0,0,0,des_start_0
1929,0,0,0,des_start_0
392,0,0,0,des_start_0
2441,0,0,0,des_start_0
1417,0,0,0,des_start_0
934,0,0,0,des_start_0
1608,0,0,0,des_start_0
73,0,0,0,des_start_0
2120,0,0,0,des_start_0
1096,0,0,0,des_start_0
576,0,0,0,des_start_0
1930,0,0,0,des_start_0
393,0,0,0,des_start_0
2442,0,0,0,des_start_0
1418,0,0,0,des_start_0
935,0,0,0,des_start_0
1609,0,0,0,des_start_0
74,0,0,0,des_start_0
2121,0,0,0,des_start_0
1097,0,0,0,des_start_0
577,0,0,0,des_start_0
1931,0,0,0,des_start_0
394,0,0,0,des_start_0
2443,0,0,0,des_start_0
1419,0,0,0,des_start_0
940,0,0,0,des_start_0
1610,0,0,0,des_start_0
75,0,0,0,des_start_0
2122,0,0,0,des_start_0
1098,0,0,0,des_start_0
578,0,0,0,des_start_0
1924,0,0,0,des_start_0
395,0,0,0,des_start_0
2436,0,0,0,des_start_0
1412,0,0,0,des_start_0
941,0,0,0,des_start_0
1611,0,0,0,des_start_0
68,0,0,0,des_start_0
2123,0,0,0,des_start_0
1099,0,0,0,des_start_0
579,0,0,0,des_start_0
1925,0,0,0,des_start_0
388,0,0,0,des_start_0
2437,0,0,0,des_start_0
1413,0,0,0,des_start_0
942,0,0,0,des_start_0
1604,0,0,0,des_start_0
69,0,0,0,des_start_0
2116,0,0,0,des_start_0
1092,0,0,0,des_start_0
584,0,0,0,des_start_0
1926,0,0,0,des_start_0
389,0,0,0,des_start_0
2438,0,0,0,des_start_0
1414,0,0,0,des_start_0
943,0,0,0,des_start_0
1605,0,0,0,des_start_0
70,0,0,0,des_start_0
2117,0,0,0,des_start_0
1093,0,0,0,des_start_0
585,0,0,0,des_start_0
1927,0,0,0,des_start_0
390,0,0,0,des_start_0
2439,0,0,0,des_start_0
1415,0,0,0,des_start_0
944,0,0,0,des_start_0
1606,0,0,0,des_start_0
71,0,0,0,des_start_0
2118,0,0,0,des_start_0
1094,0,0,0,des_start_0
586,0,0,0,des_start_0
1932,0,0,0,des_start_0
391,0,0,0,des_start_0
2444,0,0,0,des_start_0
1420,0,0,0,des_start_0
945,0,0,0,des_start_0
1607,0,0,0,des_start_0
76,0,0,0,des_start_0
2119,0,0,0,des_start_0
1095,0,0,0,des_start_0
587,0,0,0,des_start_0
