x,y,z,time,label
89,0,0,0,des_start_0
2458,0,0,0,des_start_0
1434,0,0,0,des_start_0
911,0,0,0,des_start_0
1625,0,0,0,des_start_0
410,0,0,0,des_start_0
2169,0,0,0,des_start_0
1113,0,0,0,des_start_0
637,0,0,0,des_start_0
1947,0,0,0,des_start_0
90,0,0,0,des_start_0
2459,0,0,0,des_start_0
1435,0,0,0,des_start_0
912,0,0,0,des_start_0
1626,0,0,0,des_start_0
411,0,0,0,des_start_0
2170,0,0,0,des_start_0
1114,0,0,0,des_start_0
638,0,0,0,des_start_0
1940,0,0,0,des_start_0
91,0,0,0,des_start_0
2452,0,0,0,des_start_0
1428,0,0,0,des_start_0
913,0,0,0,des_start_0
1627,0,0,0,des_start_0
404,0,0,0,des_start_0
2171,0,0,0,des_start_0
1115,0,0,0,des_start_0
639,0,0,0,des_start_0
1941,0,0,0,des_start_0
84,0,0,0,des_start_0
2453,0,0,0,des_start_0
1429,0,0,0,des_start_0
914,0,0,0,des_start_0
1620,0,0,0,des_start_0
405,0,0,0,des_start_0
2164,0,0,0,des_start_0
1108,0,0,0,des_start_0
736,0,0,0,des_start_0
1942,0,0,0,des_start_0
85,0,0,0,des_start_0
2454,0,0,0,des_start_0
1430,0,0,0,des_start_0
915,0,0,0,des_start_0
1621,0,0,0,des_start_0
406,0,0,0,des_start_0
2165,0,0,0,des_start_0
1109,0,0,0,des_start_0
737,0,0,0,des_start_0
1943,0,0,0,des_start_0
86,0,0,0,des_start_0
2455,0,0,0,des_start_0
1431,0,0,0,des_start_0
920,0,0,0,des_start_0
1622,0,0,0,des_start_0
407,0,0,0,des_start_0
2166,0,0,0,des_start_0
1110,0,0,0,des_start_0
738,0,0,0,des_start_0
1948,0,0,0,des_start_0
87,0,0,0,des_start_0
2460,0,0,0,des_start_0
1436,0,0,0,des_start_0
921,0,0,0,des_start_0
1623,0,0,0,des_start_0
412,0,0,0,des_start_0
2167,0,0,0,des_start_0
1111,0,0,0,des_start_0
739,0,0,0,des_start_0
1949,0,0,0,des_start_0
92,0,0,0,des_start_0
2461,0,0,0,des_start_0
1437,0,0,0,des_start_0
922,0,0,0,des_start_0
1628,0,0,0,des_start_0
413,0,0,0,des_start_0
2172,0,0,0,des_start_0
1116,0,0,0,des_start_0
744,0,0,0,des_start_0
1950,0,0,0,des_start_0
93,0,0,0,des_start_0
2462,0,0,0,des_start_0
1438,0,0,0,des_start_0
923,0,0,0,des_start_0
1629,0,0,0,des_start_0
414,0,0,0,des_start_0
2173,0,0,0,des_start_0
1117,0,0,0,des_start_0
745,0,0,0,des_start_0
1951,0,0,0,des_start_0
94,0,0,0,des_start_0
2463,0,0,0,des_start_0
1439,0,0,0,des_start_0
916,0,0,0,des_start_0
1630,0,0,0,des_start_0
415,0,0,0,des_start_0
2174,0,0,0,des_start_0
1118,0,0,0,des_start_0
746,0,0,0,des_start_0
1952,0,0,0,des_start_0
95,0,0,0,des_start_0
2176,0,0,0,des_start_0
1440,0,0,0,des_start_0
917,0,0,0,des_start_0
1631,0,0,0,des_start_0
128,0,0,0,des_start_0
2175,0,0,0,des_start_0
1119,0,0,0,des_start_0
747,0,0,0,des_start_0
1953,0,0,0,des_start_0
96,0,0,0,des_start_0
2177,0,0,0,des_start_0
1441,0,0,0,des_start_0
918,0,0,0,des_start_0
1632,0,0,0,des_start_0
129,0,0,0,des_start_0
2112,0,0,0,des_start_0
1120,0,0,0,des_start_0
740,0,0,0,des_start_0
1954,0,0,0,des_start_0
97,0,0,0,des_start_0
2178,0,0,0,des_start_0
1442,0,0,0,des_start_0
919,0,0,0,des_start_0
1633,0,0,0,des_start_0
130,0,0,0,des_start_0
2113,0,0,0,des_start_0
1121,0,0,0,des_start_0
741,0,0,0,des_start_0
1955,0,0,0,des_start_0
98,0,0,0,des_start_0
2179,0,0,0,des_start_0
1443,0,0,0,des_start_0
924,0,0,0,des_start_0
1634,0,0,0,des_start_0
131,0,0,0,des_start_0
2114,0,0,0,des_start_0
1122,0,0,0,des_start_0
742,0,0,0,des_start_0
1960,0,0,0,des_start_0
99,0,0,0,des_start_0
2184,0,0,0,des_start_0
1448,0,0,0,des_start_0
925,0,0,0,des_start_0
1635,0,0,0,des_start_0
136,0,0,0,des_start_0
2115,0,0,0,des_start_0
1123,0,0,0,des_start_0
743,0,0,0,des_start_0
1961,0,0,0,des_start_0
